emp_no,first_name,last_name,gender,birth_date,hire_date
10001,Georgi,Facello,1,1953-09-02,1986-06-26
10002,Bezalel,Simmel,2,1964-06-02,1985-11-21
10003,Parto,Bamford,1,1959-12-03,1986-08-28
10004,Chirstian,Koblick,1,1954-05-01,1986-12-01
10005,Kyoichi,Maliniak,1,1955-01-21,1989-09-12
10006,Anneke,Preusig,2,1953-04-20,1989-06-02
10007,Tzvetan,Zielinski,2,1957-05-23,1989-02-10
10008,Saniya,Kalloufi,1,1958-02-19,1994-09-15
10009,Sumant,Peac,2,1952-04-19,1985-02-18
10010,Duangkaew,Piveteau,2,1963-06-01,1989-08-24
10011,Mary,Sluis,2,1953-11-07,1990-01-22
10012,Patricio,Bridgland,1,1960-10-04,1992-12-18
10013,Eberhardt,Terkki,1,1963-06-07,1985-10-20
10014,Berni,Genin,1,1956-02-12,1987-03-11
10015,Guoxiang,Nooteboom,1,1959-08-19,1987-07-02
10016,Kazuhito,Cappelletti,1,1961-05-02,1995-01-27
10017,Cristinel,Bouloucos,2,1958-07-06,1993-08-03
10018,Kazuhide,Peha,2,1954-06-19,1987-04-03
10019,Lillian,Haddadi,1,1953-01-23,1999-04-30
10020,Mayuko,Warwick,1,1952-12-24,1991-01-26
10021,Ramzi,Erde,1,1960-02-20,1988-02-10
10022,Shahaf,Famili,1,1952-07-08,1995-08-22
10023,Bojan,Montemayor,2,1953-09-29,1989-12-17
10024,Suzette,Pettey,2,1958-09-05,1997-05-19
10025,Prasadram,Heyers,1,1958-10-31,1987-08-17
10026,Yongqiao,Berztiss,1,1953-04-03,1995-03-20
10027,Divier,Reistad,2,1962-07-10,1989-07-07
10028,Domenick,Tempesti,1,1963-11-26,1991-10-22
10029,Otmar,Herbst,1,1956-12-13,1985-11-20
10030,Elvis,Demeyer,1,1958-07-14,1994-02-17
10031,Karsten,Joslin,1,1959-01-27,1991-09-01
10032,Jeong,Reistad,2,1960-08-09,1990-06-20
10033,Arif,Merlo,1,1956-11-14,1987-03-18
10034,Bader,Swan,1,1962-12-29,1988-09-21
10035,Alain,Chappelet,1,1953-02-08,1988-09-05
10036,Adamantios,Portugali,1,1959-08-10,1992-01-03
10037,Pradeep,Makrucki,1,1963-07-22,1990-12-05
10038,Huan,Lortz,1,1960-07-20,1989-09-20
10039,Alejandro,Brender,1,1959-10-01,1988-01-19
10040,Weiyi,Meriste,2,1959-09-13,1993-02-14
10041,Uri,Lenart,2,1959-08-27,1989-11-12
10042,Magy,Stamatiou,2,1956-02-26,1993-03-21
10043,Yishay,Tzvieli,1,1960-09-19,1990-10-20
10044,Mingsen,Casley,2,1961-09-21,1994-05-21
10045,Moss,Shanbhogue,1,1957-08-14,1989-09-02
10046,Lucien,Rosenbaum,1,1960-07-23,1992-06-20
10047,Zvonko,Nyanchama,1,1952-06-29,1989-03-31
10048,Florian,Syrotiuk,1,1963-07-11,1985-02-24
10049,Basil,Tramer,2,1961-04-24,1992-05-04
10050,Yinghua,Dredge,1,1958-05-21,1990-12-25
10051,Hidefumi,Caine,1,1953-07-28,1992-10-15
10052,Heping,Nitsch,1,1961-02-26,1988-05-21
10053,Sanjiv,Zschoche,2,1954-09-13,1986-02-04
10054,Mayumi,Schueller,1,1957-04-04,1995-03-13
10055,Georgy,Dredge,1,1956-06-06,1992-04-27
10056,Brendon,Bernini,2,1961-09-01,1990-02-01
10057,Ebbe,Callaway,2,1954-05-30,1992-01-15
10058,Berhard,McFarlin,1,1954-10-01,1987-04-13
10059,Alejandro,McAlpine,2,1953-09-19,1991-06-26
10060,Breannda,Billingsley,1,1961-10-15,1987-11-02
10061,Tse,Herber,1,1962-10-19,1985-09-17
10062,Anoosh,Peyn,1,1961-11-02,1991-08-30
10063,Gino,Leonhardt,2,1952-08-06,1989-04-08
10064,Udi,Jansch,1,1959-04-07,1985-11-20
10065,Satosi,Awdeh,1,1963-04-14,1988-05-18
10066,Kwee,Schusler,1,1952-11-13,1986-02-26
10067,Claudi,Stavenow,1,1953-01-07,1987-03-04
10068,Charlene,Brattka,1,1962-11-26,1987-08-07
10069,Margareta,Bierman,2,1960-09-06,1989-11-05
10070,Reuven,Garigliano,1,1955-08-20,1985-10-14
10071,Hisao,Lipner,1,1958-01-21,1987-10-01
10072,Hironoby,Sidou,2,1952-05-15,1988-07-21
10073,Shir,McClurg,1,1954-02-23,1991-12-01
10074,Mokhtar,Bernatsky,2,1955-08-28,1990-08-13
10075,Gao,Dolinsky,2,1960-03-09,1987-03-19
10076,Erez,Ritzmann,2,1952-06-13,1985-07-09
10077,Mona,Azuma,1,1964-04-18,1990-03-02
10078,Danel,Mondadori,2,1959-12-25,1987-05-26
10079,Kshitij,Gils,2,1961-10-05,1986-03-27
10080,Premal,Baek,1,1957-12-03,1985-11-19
10081,Zhongwei,Rosen,1,1960-12-17,1986-10-30
10082,Parviz,Lortz,1,1963-09-09,1990-01-03
10083,Vishv,Zockler,1,1959-07-23,1987-03-31
10084,Tuval,Kalloufi,1,1960-05-25,1995-12-15
10085,Kenroku,Malabarba,1,1962-11-07,1994-04-09
10086,Somnath,Foote,1,1962-11-19,1990-02-16
10087,Xinglin,Eugenio,2,1959-07-23,1986-09-08
10088,Jungsoon,Syrzycki,2,1954-02-25,1988-09-02
10089,Sudharsan,Flasterstein,2,1963-03-21,1986-08-12
10090,Kendra,Hofting,1,1961-05-30,1986-03-14
10091,Amabile,Gomatam,1,1955-10-04,1992-11-18
10092,Valdiodio,Niizuma,2,1964-10-18,1989-09-22
10093,Sailaja,Desikan,1,1964-06-11,1996-11-05
10094,Arumugam,Ossenbruggen,2,1957-05-25,1987-04-18
10095,Hilari,Morton,1,1965-01-03,1986-07-15
10096,Jayson,Mandell,1,1954-09-16,1990-01-14
10097,Remzi,Waschkowski,1,1952-02-27,1990-09-15
10098,Sreekrishna,Servieres,2,1961-09-23,1985-05-13
10099,Valter,Sullins,2,1956-05-25,1988-10-18
10100,Hironobu,Haraldson,2,1953-04-21,1987-09-21
